Thu Dec  1 16:36:25 2022    ./Profile

         95017 function calls (92189 primitive calls) in 82.785 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    150/1    0.001    0.000   82.785   82.785 {built-in method builtins.exec}
        1    0.001    0.001   82.785   82.785 ALL_ldKL.py:1(<module>)
        1    0.383    0.383   82.634   82.634 A1_functionKL2.py:208(pValue_allmeanshift_lineardecreaseKL)
       10   60.269    6.027   68.047    6.805 A1_functionKL2.py:99(Bootstrap_KSD)
       10    3.320    0.332   14.160    1.416 A1_functionKL2.py:55(UqMatrix)
       10    4.690    0.469    9.809    0.981 A1_functionKL2.py:27(kernel_function)
  283/238    0.044    0.000    8.919    0.037 {built-in method numpy.core._multiarray_umath.implement_array_function}
       84    8.813    0.105    8.813    0.105 {method 'reduce' of 'numpy.ufunc' objects}
       60    0.000    0.000    8.810    0.147 <__array_function__ internals>:177(sum)
       60    0.001    0.000    8.809    0.147 fromnumeric.py:2162(sum)
       63    0.001    0.000    8.808    0.140 fromnumeric.py:69(_wrapreduction)
       10    1.495    0.149    3.517    0.352 A1_functionKL2.py:16(diff_norm_sq_fn)
       20    3.035    0.152    3.036    0.152 A1_functionKL2.py:4(diff_fn)
       10    0.456    0.046    0.456    0.046 {method 'multinomial' of 'numpy.random.mtrand.RandomState' objects}
       14    0.001    0.000    0.301    0.022 __init__.py:1(<module>)
    175/2    0.001    0.000    0.150    0.075 <frozen importlib._bootstrap>:986(_find_and_load)
    175/2    0.001    0.000    0.150    0.075 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    164/2    0.001    0.000    0.150    0.075 <frozen importlib._bootstrap>:650(_load_unlocked)
    131/2    0.000    0.000    0.150    0.075 <frozen importlib._bootstrap_external>:842(exec_module)
    248/3    0.000    0.000    0.149    0.050 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
   186/20    0.001    0.000    0.136    0.007 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    364/8    0.001    0.000    0.135    0.017 {built-in method builtins.__import__}
       10    0.000    0.000    0.050    0.005 <__array_function__ internals>:177(median)
       10    0.000    0.000    0.050    0.005 function_base.py:3734(median)
       10    0.000    0.000    0.050    0.005 function_base.py:3674(_ureduce)
       10    0.001    0.000    0.050    0.005 function_base.py:3824(_median)
       10    0.000    0.000    0.048    0.005 <__array_function__ internals>:177(partition)
       10    0.000    0.000    0.048    0.005 fromnumeric.py:667(partition)
       12    0.000    0.000    0.043    0.004 <__array_function__ internals>:177(dot)
       10    0.043    0.004    0.043    0.004 {method 'partition' of 'numpy.ndarray' objects}
       10    0.001    0.000    0.042    0.004 twodim_base.py:1017(triu_indices)
      131    0.001    0.000    0.037    0.000 <frozen importlib._bootstrap_external>:914(get_code)
        1    0.020    0.020    0.036    0.036 {method 'multivariate_normal' of 'numpy.random.mtrand.RandomState' objects}
       30    0.033    0.001    0.034    0.001 twodim_base.py:1099(<genexpr>)
        1    0.000    0.000    0.023    0.023 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.020    0.020 multiarray.py:1(<module>)
        1    0.000    0.000    0.019    0.019 overrides.py:1(<module>)
1997/1899    0.001    0.000    0.018    0.000 {method 'join' of 'str' objects}
       24    0.000    0.000    0.018    0.001 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       41    0.000    0.000    0.018    0.000 _add_newdocs_scalars.py:62(<genexpr>)
       17    0.000    0.000    0.018    0.001 platform.py:885(system)
       34    0.000    0.000    0.018    0.001 platform.py:747(uname)
        1    0.000    0.000    0.018    0.018 platform.py:604(_syscmd_uname)
  164/161    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.016    0.016 numeric.py:1(<module>)
      160    0.000    0.000    0.016    0.000 re.py:289(_compile)
       35    0.000    0.000    0.015    0.000 re.py:250(compile)
       38    0.000    0.000    0.015    0.000 sre_compile.py:759(compile)
      130    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        1    0.000    0.000    0.014    0.014 subprocess.py:10(<module>)
      130    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
      172    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      314    0.001    0.000    0.013    0.000 function_base.py:475(add_newdoc)
        1    0.000    0.000    0.013    0.013 _add_newdocs.py:1(<module>)
  287/286    0.004    0.000    0.012    0.000 {built-in method builtins.__build_class__}
       17    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
       17    0.011    0.001    0.012    0.001 {built-in method _imp.create_dynamic}
      156    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      156    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      131    0.011    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        1    0.000    0.000    0.011    0.011 <__array_function__ internals>:177(svd)
        1    0.011    0.011    0.011    0.011 linalg.py:1477(svd)
        1    0.000    0.000    0.011    0.011 threading.py:1(<module>)
        1    0.000    0.000    0.010    0.010 threading.py:1262(__init__)
      314    0.010    0.000    0.010    0.000 function_base.py:461(_add_docstring)
        1    0.010    0.010    0.010    0.010 threading.py:761(__init__)
      274    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.000    0.000    0.009    0.009 A1_functionKL2.py:1(<module>)
      314    0.001    0.000    0.009    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.009    0.009 _pickle.py:1(<module>)
       38    0.000    0.000    0.009    0.000 sre_parse.py:937(parse)
   128/38    0.000    0.000    0.008    0.000 sre_parse.py:435(_parse_sub)
   158/40    0.003    0.000    0.008    0.000 sre_parse.py:493(_parse)
        1    0.000    0.000    0.008    0.008 cli.py:1(<module>)
    17/12    0.000    0.000    0.008    0.001 <frozen importlib._bootstrap_external>:1172(exec_module)
    17/12    0.002    0.000    0.008    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.007    0.007 index_tricks.py:1(<module>)
       10    0.000    0.000    0.007    0.001 A1_functionKL2.py:65(KSD)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
        1    0.000    0.000    0.006    0.006 core.py:1(<module>)
       38    0.000    0.000    0.006    0.000 sre_compile.py:598(_code)
       10    0.000    0.000    0.006    0.001 twodim_base.py:376(tri)
       10    0.000    0.000    0.006    0.001 {method 'sum' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.006    0.001 _methods.py:46(_sum)
      132    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
      284    0.001    0.000    0.005    0.000 overrides.py:88(verify_matching_signatures)
       10    0.005    0.001    0.005    0.001 {method 'outer' of 'numpy.ufunc' objects}
   310/38    0.002    0.000    0.005    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:3(<module>)
       10    0.004    0.000    0.004    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 secrets.py:1(<module>)
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
      164    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.004    0.004 defmatrix.py:1(<module>)
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
        2    0.000    0.000    0.003    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _pep440.py:1(<module>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
      100    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(expand_dims)
     1448    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
      630    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      262    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
        1    0.000    0.000    0.003    0.003 _pep440.py:285(Version)
        1    0.000    0.000    0.003    0.003 subprocess.py:368(check_output)
        1    0.000    0.000    0.003    0.003 linalg.py:1(<module>)
        1    0.000    0.000    0.003    0.003 subprocess.py:452(run)
        2    0.000    0.000    0.003    0.001 version.py:1(<module>)
      132    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
      630    0.003    0.000    0.003    0.000 {built-in method posix.stat}
      100    0.001    0.000    0.003    0.000 shape_base.py:512(expand_dims)
      614    0.002    0.000    0.002    0.000 _inspect.py:65(getargs)
      125    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
      332    0.001    0.000    0.002    0.000 functools.py:34(update_wrapper)
        1    0.000    0.000    0.002    0.002 subprocess.py:736(__init__)
      279    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:376(cached)
        2    0.000    0.000    0.002    0.001 polynomial.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:1552(_execute_child)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _version.py:7(<module>)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
      132    0.002    0.000    0.002    0.000 {built-in method io.open_code}
       18    0.001    0.000    0.002    0.000 __init__.py:313(namedtuple)
      148    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
        1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:906(source_to_code)
        1    0.002    0.002    0.002    0.002 {built-in method builtins.compile}
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
      304    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     4169    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 npyio.py:1(<module>)
      175    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
      479    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
     1448    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        3    0.000    0.000    0.001    0.000 enum.py:483(_convert_)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 linecache.py:1(<module>)
     8258    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       91    0.000    0.000    0.001    0.000 enum.py:313(__call__)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
     1857    0.001    0.000    0.001    0.000 sre_parse.py:254(get)
       14    0.000    0.000    0.001    0.000 core.py:114(doc_note)
      193    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        2    0.000    0.000    0.001    0.001 utils.py:1(<module>)
     2042    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
      209    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        3    0.000    0.000    0.001    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 std.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
      479    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      671    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x908780}
        5    0.000    0.000    0.001    0.000 enum.py:157(__new__)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
  380/109    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
6533/6198    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       28    0.001    0.000    0.001    0.000 inspect.py:625(cleandoc)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
       38    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
     2290    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:417(PercentStyle)
       20    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(broadcast_to)
      479    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
      321    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
       11    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(mean)
      148    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
      100    0.000    0.000    0.001    0.000 numeric.py:1347(normalize_axis_tuple)
       23    0.000    0.000    0.001    0.000 abc.py:84(__new__)
       20    0.000    0.000    0.001    0.000 stride_tricks.py:367(broadcast_to)
       11    0.000    0.000    0.001    0.000 fromnumeric.py:3313(mean)
       10    0.000    0.000    0.001    0.000 utils.py:1015(_median_nancheck)
       20    0.001    0.000    0.001    0.000 stride_tricks.py:340(_broadcast_to)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
       10    0.001    0.000    0.001    0.000 A1_functionKL2.py:122(approx_pvalue)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       11    0.000    0.000    0.001    0.000 _methods.py:163(_mean)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
       70    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(create_module)
     1689    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
       20    0.000    0.000    0.001    0.000 fromnumeric.py:51(_wrapfunc)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      568    0.000    0.000    0.001    0.000 <string>:1(__new__)
       10    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(diagonal)
      131    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1572    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     4890    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
      310    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1575(_array_str_implementation)
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:506(wrapper)
      392    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
     1790    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
       50    0.000    0.000    0.000    0.000 core.py:130(get_object_signature)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1568(_guarded_repr_or_str)
       20    0.000    0.000    0.000    0.000 twodim_base.py:33(_min_int)
        1    0.000    0.000    0.000    0.000 ast.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(round_)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
      107    0.000    0.000    0.000    0.000 re.py:188(match)
     3160    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
