Thu Dec  1 16:04:08 2022    ./Profile

         104550 function calls (101758 primitive calls) in 5.073 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    150/1    0.001    0.000    5.073    5.073 {built-in method builtins.exec}
        1    0.001    0.001    5.073    5.073 ALL_ldKL.py:1(<module>)
        1    0.003    0.003    4.971    4.971 A1_functionKL2.py:184(pValue_allmeanshift_lineardecreaseKL)
        1    1.472    1.472    3.449    3.449 A1_functionKL2.py:75(Bootstrap_KSD)
        1    0.332    0.332    1.470    1.470 A1_functionKL2.py:55(UqMatrix)
1034/1025    0.008    0.000    1.468    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1000    0.002    0.000    1.262    0.001 <__array_function__ internals>:177(outer)
     1000    1.256    0.001    1.257    0.001 numeric.py:857(outer)
        1    0.468    0.468    1.033    1.033 A1_functionKL2.py:27(kernel_function)
     1010    0.719    0.001    0.719    0.001 {method 'reduce' of 'numpy.ufunc' objects}
     1001    0.002    0.000    0.572    0.001 {method 'sum' of 'numpy.ndarray' objects}
     1001    0.001    0.000    0.570    0.001 _methods.py:46(_sum)
        1    0.148    0.148    0.404    0.404 A1_functionKL2.py:16(diff_norm_sq_fn)
        2    0.355    0.178    0.355    0.178 A1_functionKL2.py:4(diff_fn)
       14    0.001    0.000    0.208    0.015 __init__.py:1(<module>)
        4    0.000    0.000    0.150    0.038 <__array_function__ internals>:177(sum)
        4    0.000    0.000    0.150    0.038 fromnumeric.py:2162(sum)
        7    0.000    0.000    0.150    0.021 fromnumeric.py:69(_wrapreduction)
    175/2    0.001    0.000    0.101    0.050 <frozen importlib._bootstrap>:986(_find_and_load)
    175/2    0.001    0.000    0.101    0.050 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
    164/2    0.001    0.000    0.101    0.050 <frozen importlib._bootstrap>:650(_load_unlocked)
    131/2    0.000    0.000    0.101    0.050 <frozen importlib._bootstrap_external>:842(exec_module)
    247/2    0.000    0.000    0.100    0.050 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1000    0.096    0.000    0.096    0.000 {built-in method builtins.sum}
   186/20    0.000    0.000    0.091    0.005 <frozen importlib._bootstrap>:1017(_handle_fromlist)
    364/8    0.000    0.000    0.090    0.011 {built-in method builtins.__import__}
        1    0.001    0.001    0.048    0.048 {method 'multivariate_normal' of 'numpy.random.mtrand.RandomState' objects}
        1    0.047    0.047    0.047    0.047 {method 'multinomial' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.045    0.045 <__array_function__ internals>:177(svd)
        1    0.045    0.045    0.045    0.045 linalg.py:1477(svd)
        1    0.000    0.000    0.022    0.022 multiarray.py:1(<module>)
        1    0.000    0.000    0.022    0.022 overrides.py:1(<module>)
      131    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:914(get_code)
  164/161    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
      160    0.000    0.000    0.015    0.000 re.py:289(_compile)
       35    0.000    0.000    0.014    0.000 re.py:250(compile)
       38    0.000    0.000    0.014    0.000 sre_compile.py:759(compile)
      131    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
      131    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
       17    0.000    0.000    0.012    0.001 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.000    0.000    0.012    0.012 _add_newdocs_scalars.py:1(<module>)
       17    0.011    0.001    0.012    0.001 {built-in method _imp.create_dynamic}
  287/286    0.004    0.000    0.011    0.000 {built-in method builtins.__build_class__}
      172    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      156    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      156    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
       38    0.000    0.000    0.008    0.000 sre_parse.py:937(parse)
   128/38    0.000    0.000    0.008    0.000 sre_parse.py:435(_parse_sub)
   158/40    0.003    0.000    0.008    0.000 sre_parse.py:493(_parse)
      274    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
1997/1899    0.001    0.000    0.007    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.007    0.007 A1_functionKL2.py:1(<module>)
       24    0.000    0.000    0.007    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
      314    0.001    0.000    0.007    0.000 overrides.py:170(decorator)
       41    0.000    0.000    0.007    0.000 _add_newdocs_scalars.py:62(<genexpr>)
       17    0.000    0.000    0.007    0.000 platform.py:885(system)
       34    0.000    0.000    0.007    0.000 platform.py:747(uname)
        1    0.000    0.000    0.007    0.007 platform.py:604(_syscmd_uname)
        1    0.000    0.000    0.006    0.006 py3k.py:1(<module>)
        1    0.000    0.000    0.006    0.006 <__array_function__ internals>:177(median)
        1    0.000    0.000    0.006    0.006 function_base.py:3734(median)
        1    0.000    0.000    0.006    0.006 function_base.py:3674(_ureduce)
        1    0.000    0.000    0.006    0.006 function_base.py:3824(_median)
        1    0.000    0.000    0.006    0.006 _pickle.py:1(<module>)
        1    0.000    0.000    0.006    0.006 core.py:1(<module>)
        1    0.000    0.000    0.006    0.006 <__array_function__ internals>:177(partition)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:667(partition)
        3    0.000    0.000    0.006    0.002 <__array_function__ internals>:177(dot)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cli.py:1(<module>)
    17/12    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1172(exec_module)
    17/12    0.001    0.000    0.005    0.000 {built-in method _imp.exec_dynamic}
